row.names,Accession,MW.[kDa]
O89029,O89029,68.9
P50518,P50518,26.1
P01029,P01029,192.8
Q6ZQ08,Q6ZQ08,266.6
Q05816,Q05816,15.1
P54823,P54823,54.2
Q68FL6,Q68FL6,101.4
Q9CYZ2,Q9CYZ2,24
P62702,P62702,29.6
Q64521,Q64521,80.9
P15626,P15626,25.7
Q3TES0,Q3TES0,129
P62196,P62196,45.6
Q921G7,Q921G7,68
Q64442,Q64442,38.2
Q9R0Y5,Q9R0Y5,21.5
Q05186,Q05186,38.1
Q9DBC3,Q9DBC3,95.6
P53994,P53994,23.5
Q6ZWQ0,Q6ZWQ0,782.2
O08529,O08529,79.8
Q8BH64,Q8BH64,61.1
P84228,P84228,15.4
Q921F4,Q921F4,64.1
Q9ERK4,Q9ERK4,110.4
Q9DBS5,Q9DBS5,68.6
P62754,P62754,28.7
Q61187,Q61187,44.1
Q8BPB5,Q8BPB5,54.9
Q9CQA3,Q9CQA3,31.8
Q6GQT1,Q6GQT1,164.2
Q8JZQ9,Q8JZQ9,91.3
Q60634,Q60634,47
Q8VHY0,Q8VHY0,252.2
Q921F2,Q921F2,44.5
Q9DBE8,Q9DBE8,47.4
P54822,P54822,54.8
E9PVA8,E9PVA8,292.8
Q61235,Q61235,56.3
Q8BVQ5,Q8BVQ5,42.2
P62137,P62137,37.5
Q9ER72,Q9ER72,94.8
Q8R146,Q8R146,81.5
Q9DBG6,Q9DBG6,69
Q6ZWX6,Q6ZWX6,36.1
O35295,O35295,33.9
Q8BLK3,Q8BLK3,38.1
Q5XJY5,Q5XJY5,57.2
Q9JK37,Q9JK37,31.4
Q921T2,Q921T2,66.7
Q9D7G0,Q9D7G0,34.8
P60904,P60904,22.1
Q62448,Q62448,102
P58871,P58871,181.7
Q9D1G1,Q9D1G1,22.2
P97429,P97429,35.9
Q9JJU9,Q9JJU9,24.3
P28271,P28271,98.1
Q62419,Q62419,41.5
P41216,P41216,77.9
P28481,P28481,141.9
Q99LD4,Q99LD4,53.4
P48453,P48453,59.1
Q9JHR7,Q9JHR7,117.7
Q8CC88,Q8CC88,213.3
Q8CGF7,Q8CGF7,123.7
P97371,P97371,28.7
Q9Z2W0,Q9Z2W0,52.2
P45952,P45952,46.5
P39054,P39054,98.1
P24547,P24547,55.8
P33173,P33173,191.6
Q6A068,Q6A068,92.1
Q9JHI5,Q9JHI5,46.3
O35465,O35465,43.5
Q9Z2X1,Q9Z2X1,45.7
Q9DCW4,Q9DCW4,27.6
Q64737,Q64737,107.4
Q9Z2U0,Q9Z2U0,27.8
Q91YR1,Q91YR1,40.1
P09041,P09041,44.8
Q9Z2H5,Q9Z2H5,98.3
O35129,O35129,33.3
Q9WUM4,Q9WUM4,53.1
P00493,P00493,24.6
Q9CSN1,Q9CSN1,61.4
P97298,P97298,46.2
Q8R1Q3,Q8R1Q3,39
Q8QZS1,Q8QZS1,43
Q61703,Q61703,105.9
Q61035,Q61035,57.4
Q3TTY5,Q3TTY5,70.9
P97822,P97822,29.6
Q80TV8,Q80TV8,169.1
Q9EPN1,Q9EPN1,326.5
Q69ZU6,Q69ZU6,183.4
Q8CI51,Q8CI51,63.3
Q99KP6,Q99KP6,55.2
P16406,P16406,107.9
P81117,P81117,50.3
P62717,P62717,20.7
Q64520,Q64520,21.9
Q8K3K8,Q8K3K8,67
Q99KC8,Q99KC8,87.1
P49443,P49443,42.4
Q64471,Q64471,27.4
Q8VHQ9,Q8VHQ9,67.3
Q64669,Q64669,30.9
Q61425,Q61425,34.4
P99029,P99029,21.9
Q8R1A4,Q8R1A4,241.3
P82198,P82198,74.6
Q99JY9,Q99JY9,47.3
Q9QYG0,Q9QYG0,40.8
Q61503,Q61503,63.8
Q9R0P9,Q9R0P9,24.8
Q62108,Q62108,80.4
P27048,P27048,23.6
P25444,P25444,31.2
Q9JJU8,Q9JJU8,12.8
P50285,P50285,59.9
P05132,P05132,40.5
Q99PL6,Q99PL6,49.8
Q8BK62,Q8BK62,45.7
P23492,P23492,32.3
Q9R1T4,Q9R1T4,49.6
Q9QY76,Q9QY76,26.9
P35979,P35979,17.8
Q9QYJ0,Q9QYJ0,45.7
Q99JY0,Q99JY0,51.4
P62242,P62242,24.2
Q9WVA4,Q9WVA4,22.4
P35278,P35278,23.4
Q6P5D8,Q6P5D8,225.5
Q6PB44,Q6PB44,185.1
Q6PHS9,Q6PHS9,130.3
Q9JLJ2,Q9JLJ2,53.5
Q03350,Q03350,129.8
Q9Z130,Q9Z130,33.5
Q5DTL9,Q5DTL9,125.7
Q7TMF3,Q7TMF3,17.1
P32261,P32261,52
Q8VDW0,Q8VDW0,49
Q921H8,Q921H8,43.9
Q9WVA3,Q9WVA3,36.9
Q3THS6,Q3THS6,43.7
Q8BIQ5,Q8BIQ5,61.3
Q62348,Q62348,26.2
Q8R326,Q8R326,58.7
O08917,O08917,47.5
P62317,P62317,13.5
Q61548,Q61548,91.8
P11627,P11627,140.9
Q8CAA7,Q8CAA7,70.2
P13864,P13864,183.1
P31650,P31650,69.9
Q62418,Q62418,48.7
Q8C5H8,Q8C5H8,50.8
Q91YI0,Q91YI0,51.7
Q9D4H8,Q9D4H8,86.8
P84096,P84096,21.3
Q3TCH7,Q3TCH7,87.7
Q80X50,Q80X50,116.7
Q99MQ4,Q99MQ4,42.5
Q8R016,Q8R016,52.5
Q91WK2,Q91WK2,39.8
P55302,P55302,42.2
P63328,P63328,58.6
Q9QZE5,Q9QZE5,97.5
O55042,O55042,14.5
Q8R164,Q8R164,32.8
Q8R5M8,Q8R5M8,49.8
Q9EP71,Q9EP71,108.8
Q80UG5,Q80UG5,65.5
Q52KI8,Q52KI8,106.8
O55234,O55234,28.5
P21279,P21279,42.1
Q8C3F2,Q8C3F2,119.6
P97434,P97434,116.3
Q8R4X3,Q8R4X3,102.7
P08122,P08122,167.2
P63325,P63325,18.9
Q61584,Q61584,76.2
P54923,P54923,40
Q9Z0S1,Q9Z0S1,33.2
P24369,P24369,23.7
Q99JB2,Q99JB2,38.4
Q8BIK4,Q8BIK4,235.2
P61205,P61205,20.6
Q9QYB5,Q9QYB5,78.7
Q91ZZ3,Q91ZZ3,14
P97384,P97384,54
Q9JMA1,Q9JMA1,56
Q91WU5,Q91WU5,41.8
Q8C9B9,Q8C9B9,247
Q9CRB6,Q9CRB6,19
Q60931,Q60931,30.7
P47963,P47963,24.3
P63044,P63044,12.7
Q8CH18,Q8CH18,132
Q9CX34,Q9CX34,38.1
Q80VP0,Q80VP0,130.2
O08848,O08848,60.1
Q08288,Q08288,43.7
Q61011,Q61011,37.2
Q9CWJ9,Q9CWJ9,64.2
P43275,P43275,21.8
Q812A2,Q812A2,124.3
Q60972,Q60972,47.6
Q9JKS4,Q9JKS4,76.4
Q9DAK9,Q9DAK9,14
O70325,O70325,22.2
Q9R1C6,Q9R1C6,63.6
P62281,P62281,18.4
Q61081,Q61081,44.6
P84244,P84244,15.3
P46638,P46638,24.5
O55126,O55126,32.9
O88952,O88952,21.8
Q8VCW8,Q8VCW8,67.9
Q9ESE1,Q9ESE1,316.9
Q91VC4,Q91VC4,49.9
Q99KV1,Q99KV1,40.5
O55240,O55240,34.8
P52503,P52503,13
Q6A028,Q6A028,69
Q8CJG1,Q8CJG1,97.2
Q99PJ0,Q99PJ0,38
Q8BGT8,Q8BGT8,42.3
Q8CIN4,Q8CIN4,57.9
Q9D6Z1,Q9D6Z1,64.4
Q8R366,Q8R366,65
Q7TT37,Q7TT37,149.5
B2RSH2,B2RSH2,40.3
Q9D7H3,Q9D7H3,39.2
P12787,P12787,16.1
Q6A026,Q6A026,150.2
Q8BSS9,Q8BSS9,143.1
Q7TT50,Q7TT50,194.6
Q9D2V7,Q9D2V7,100.7
P61164,P61164,42.6
P97450,P97450,12.5
B1AZI6,B1AZI6,182.7
Q9CPU0,Q9CPU0,20.8
Q4VAA2,Q4VAA2,29.7
P55264,P55264,40.1
Q3U319,Q3U319,113.9
P47791,P47791,53.6
P70372,P70372,36.1
P19783,P19783,19.5
Q6NZC7,Q6NZC7,110.7
O70443,O70443,40.8
P51174,P51174,47.9
Q9Z0Z4,Q9Z0Z4,129.6
Q9CR62,Q9CR62,34.1
Q6PDS3,Q6PDS3,79.6
Q99JR5,Q99JR5,52.6
Q60631,Q60631,25.2
Q60769,Q60769,87.6
P97479,P97479,254.8
Q9JKC6,Q9JKC6,15
Q3UHL1,Q3UHL1,54.8
O08759,O08759,99.8
Q91WN1,Q91WN1,30
Q2TPA8,Q2TPA8,54.2
Q8BMF4,Q8BMF4,67.9
Q8C522,Q8C522,55.2
Q8BX70,Q8BX70,419.8
O09061,O09061,26.4
Q6P1F6,Q6P1F6,51.7
P61161,P61161,44.7
P70265,P70265,59.9
P11798,P11798,54.1
Q6IRU5,Q6IRU5,25.2
Q8BJS4,Q8BJS4,81.6
Q9Z0N2,Q9Z0N2,51.1
Q9CY64,Q9CY64,33.5
P43247,P43247,104.1
Q08879,Q08879,78
P70122,P70122,28.8
Q9D6P8,Q9D6P8,16.7
O35074,O35074,57
O08585,O08585,25.6
Q6P7F1,Q6P7F1,72
Q9D8U8,Q9D8U8,46.8
Q925I1,Q925I1,66.7
Q8CI59,Q8CI59,54.7
Q8VD04,Q8VD04,92.7
Q8K3J1,Q8K3J1,24
Q9CXW3,Q9CXW3,26.5
Q9CQD1,Q9CQD1,23.6
Q9QXY6,Q9QXY6,60.8
Q9D517,Q9D517,43.3
Q8CBE3,Q8CBE3,55
Q8BT60,Q8BT60,59.5
Q8K3H0,Q8K3H0,79.3
Q9D892,Q9D892,21.9
P97742,P97742,88.2
P62962,P62962,14.9
Q60751,Q60751,155.7
P61202,P61202,51.6
P68181,P68181,40.7
Q7TMB8,Q7TMB8,145.1
Q99K01,Q99K01,87.3
P56695,P56695,100.5
Q8VE97,Q8VE97,55.9
Q9CWL8,Q9CWL8,64.9
Q9DCT1,Q9DCT1,34.4
O88543,O88543,47.8
O08547,O08547,24.7
P28652,P28652,60.4
P56546,P56546,48.9
Q6DIC0,Q6DIC0,180.1
O35857,O35857,51.1
Q60575,Q60575,204
P04186,P04186,85
Q9CXS4,Q9CXS4,27.5
Q8K284,Q8K284,237.3
Q06890,Q06890,51.6
P97372,P97372,27
Q9CR68,Q9CR68,29.3
O54941,O54941,46.6
Q9DC69,Q9DC69,42.5
P17141,P17141,67.2
O88735,O88735,82
Q9Z1M8,Q9Z1M8,65.6
P63087,P63087,37
P62264,P62264,16.3
Q9EPL8,Q9EPL8,119.4
P55096,P55096,75.4
Q01279,Q01279,134.8
Q99P91,Q99P91,63.6
Q91ZV0,Q91ZV0,156.4
O70423,O70423,84.5
Q8R1F1,Q8R1F1,84.8
P37804,P37804,22.6
Q9CZC8,Q9CZC8,46.3
P58389,P58389,36.7
P48774,P48774,26.6
Q62417,Q62417,143
Q03734,Q03734,47
Q60967,Q60967,70.7
P15499,P15499,39.2
Q58A65,Q58A65,146.1
Q99L88,Q99L88,58
P97797,P97797,56.4
P45591,P45591,18.7
Q3U962,Q3U962,144.9
P62141,P62141,37.2
Q91Z67,Q91Z67,120.7
O89053,O89053,51
Q8CI43,Q8CI43,22.7
P14602,P14602,23
Q8CIZ8,Q8CIZ8,309.1
Q9QZE7,Q9QZE7,32.9
P47753,P47753,32.9
Q80VD1,Q80VD1,45.3
P15532,P15532,17.2
Q61166,Q61166,30
P14869,P14869,34.2
O35633,O35633,57.3
Q8R0A5,Q8R0A5,22.5
P29699,P29699,37.3
P62918,P62918,28
Q91YW3,Q91YW3,57.4
Q9CT10,Q9CT10,52.5
P63001,P63001,21.4
P15409,P15409,39
Q8BFW7,Q8BFW7,65.8
Q99N28,Q99N28,42.9
O54983,O54983,33.5
Q8CDN6,Q8CDN6,32.2
Q9D8B3,Q9D8B3,24.9
Q8R0X7,Q8R0X7,63.6
Q9DC51,Q9DC51,40.5
Q3UMU9,Q3UMU9,74.2
Q3TDN2,Q3TDN2,52.4
Q9CQE8,Q9CQE8,28.1
Q8BH61,Q8BH61,83.2
Q7TPV4,Q7TPV4,151.9
Q99JR1,Q99JR1,35.6
P62960,P62960,35.7
Q91WP6,Q91WP6,46.7
Q8C0C7,Q8C0C7,57.6
Q9JIF9,Q9JIF9,55.3
Q8K2G4,Q8K2G4,80.3
Q04690,Q04690,319.4
O55128,O55128,17.6
P48318,P48318,66.6
Q9JJV2,Q9JJV2,15
P16330,P16330,47.1
Q00899,Q00899,44.7
Q99JB8,Q99JB8,48.6
Q8BH74,Q8BH74,106.7
P68433,P68433,15.4
Q00519,Q00519,146.5
P61021,P61021,23.7
P29391,P29391,20.8
O70172,O70172,46.1
P26645,P26645,29.6
Q6PHN9,Q6PHN9,23
P53986,P53986,53.2
Q8BMJ2,Q8BMJ2,134.1
Q9Z1S5,Q9Z1S5,40
P31324,P31324,46.1
Q9DAW9,Q9DAW9,36.4
Q922U1,Q922U1,77.4
Q9JHW2,Q9JHW2,30.5
P01872,P01872,49.9
Q62277,Q62277,34
Q61545,Q61545,68.4
Q62159,Q62159,22
Q03717,Q03717,95.5
Q9D2G2,Q9D2G2,49
P21956,P21956,51.2
Q8BTV2,Q8BTV2,52
Q8VEH3,Q8VEH3,21.4
Q6P9K9,Q6P9K9,173.3
P09671,P09671,24.6
O88448,O88448,66.6
Q91WM1,Q91WM1,73.7
Q920E5,Q920E5,40.6
P63037,P63037,44.8
Q9Z1Z2,Q9Z1Z2,38.4
O35551,O35551,99.5
P24472,P24472,25.5
P63028,P63028,19.5
P06728,P06728,45
Q9DCL8,Q9DCL8,23.1
O54931,O54931,98.5
Q5SQX6,Q5SQX6,145.6
P84099,P84099,23.5
Q80WJ7,Q80WJ7,63.8
P46735,P46735,128.5
Q9DB20,Q9DB20,23.3
Q8BJ71,Q8BJ71,93.2
Q6GSS7,Q6GSS7,14.1
P46097,P46097,47.2
Q64516,Q64516,61.2
O70591,O70591,16.5
Q9CQ60,Q9CQ60,27.2
Q9DBT5,Q9DBT5,92
Q60872,Q60872,16.5
P53026,P53026,24.9
Q8K354,Q8K354,30.9
Q5SUF2,Q5SUF2,51.4
Q8K1J6,Q8K1J6,49.9
Q02257,Q02257,81.7
Q60973,Q60973,47.8
Q61074,Q61074,58.7
Q8BG51,Q8BG51,72.2
P98203,P98203,105
Q6ZWV3,Q6ZWV3,24.6
P62320,P62320,13.9
Q920I9,Q920I9,163.3
Q8R3B1,Q8R3B1,85.8
Q8CFI7,Q8CFI7,133.8
P51863,P51863,40.3
Q8BSY0,Q8BSY0,83
O35945,O35945,54.6
Q61474,Q61474,39.1
Q62351,Q62351,85.7
P54869,P54869,56.8
Q8R5C5,Q8R5C5,42.3
Q99KN9,Q99KN9,68.5
Q01339,Q01339,38.6
Q6NVF9,Q6NVF9,59.1
Q9CZM2,Q9CZM2,24.1
Q9WUA2,Q9WUA2,65.7
Q91W39,Q91W39,65.3
Q8K2C9,Q8K2C9,43.1
P14576,P14576,55.7
Q9EQ80,Q9EQ80,41.7
Q80W21,Q80W21,25.7
Q8C0E2,Q8C0E2,39.1
Q63844,Q63844,43
Q3TVI8,Q3TVI8,81.1
Q6P8I4,Q6P8I4,19
Q8CHG3,Q8CHG3,194.3
O54833,O54833,41.2
Q923D5,Q923D5,69.8
Q99P88,Q99P88,155
Q9CQI6,Q9CQI6,15.9
P24668,P24668,31.2
P35293,P35293,23
Q9D1M0,Q9D1M0,35.5
Q8BL97,Q8BL97,30.8
Q60749,Q60749,48.3
Q9QXT0,Q9QXT0,20.8
Q3UIL6,Q3UIL6,126.7
Q8K183,Q8K183,35
Q9R0P3,Q9R0P3,31.3
Q61102,Q61102,82.5
P49586,P49586,41.6
Q61171,Q61171,21.8
P10922,P10922,20.8
Q91Z53,Q91Z53,35.3
Q923T9,Q923T9,59.6
Q9D1E6,Q9D1E6,27.4
P49817,P49817,20.5
Q91W86,Q91W86,107.7
P63213,P63213,7.8
Q91ZQ1,Q91ZQ1,98.7
Q91W97,Q91W97,102.2
Q8BGZ7,Q8BGZ7,59.7
Q64704,Q64704,33.2
Q9D855,Q9D855,13.5
Q3B7Z2,Q3B7Z2,88.7
Q921M4,Q921M4,113.2
Q8BU30,Q8BU30,144.2
P01837,P01837,11.9
P97927,P97927,201.7
P46414,P46414,22.2
Q8K2F0,Q8K2F0,79.7
Q64514,Q64514,139.8
Q9D6Y7,Q9D6Y7,26
P40630,P40630,28
Q78IK4,Q78IK4,29.2
O88271,O88271,32.9
Q62446,Q62446,25.1
Q91ZQ5,Q91ZQ5,61
Q68FF6,Q68FF6,85.2
Q64133,Q64133,59.6
Q3U5Q7,Q3U5Q7,50
Q9JIF0,Q9JIF0,42.4
P62827,P62827,24.4
P46978,P46978,80.5
P23953,P23953,61
Q80XI4,Q80XI4,47.3
Q9D2M8,Q9D2M8,16.4
Q99L04,Q99L04,34
P60766,P60766,21.2
Q8C878,Q8C878,51.7
Q8BGH2,Q8BGH2,51.8
Q9Z1P6,Q9Z1P6,12.6
Q60692,Q60692,25.4
Q9CZ42,Q9CZ42,36.7
Q920B9,Q920B9,119.7
Q9Z0H4,Q9Z0H4,54.2
Q64433,Q64433,11
Q9WV54,Q9WV54,44.6
Q9WUR9,Q9WUR9,25
O89086,O89086,16.6
Q91V61,Q91V61,35.4
P10518,P10518,36
P63024,P63024,11.5
P42567,P42567,98.4
Q5SDA5,Q5SDA5,124.3
Q91XD7,Q91XD7,45.7
P28658,P28658,53.7
Q5FWK3,Q5FWK3,50.4
Q9WUL7,Q9WUL7,20.5
Q7TQD2,Q7TQD2,23.6
Q60520,Q60520,145
Q9D6J5,Q9D6J5,21.9
Q9DCT2,Q9DCT2,30.1
Q8VBW6,Q8VBW6,60.2
Q9DBL1,Q9DBL1,47.8
Q6PFD9,Q6PFD9,197.1
Q9D0L8,Q9D0L8,53.3
Q9CYR6,Q9CYR6,59.4
P56564,P56564,59.6
P01899,P01899,40.8
P56391,P56391,10.1
Q6ZPJ3,Q6ZPJ3,140.7
G3X9K3,G3X9K3,208.4
Q8K4G1,Q8K4G1,178.5
Q3TW96,Q3TW96,56.6
Q6P9Q6,Q6P9Q6,132.9
Q99KQ4,Q99KQ4,55.4
Q8CG76,Q8CG76,40.6
Q149F3,Q149F3,69.1
P60469,P60469,133.3
P56376,P56376,11.2
Q5SRX1,Q5SRX1,55.6
Q80YV4,Q80YV4,91.5
O55137,O55137,46.1
Q9Z1K5,Q9Z1K5,64
P46935,P46935,102.6
Q9DBG5,Q9DBG5,47.2
P63094,P63094,45.6
Q9JHL1,Q9JHL1,37.4
Q9DCN2,Q9DCN2,34.1
P43006,P43006,62
P62812,P62812,51.7
Q69ZR2,Q69ZR2,289.9
Q99KG3,Q99KG3,103.4
Q9WVK4,Q9WVK4,60.6
P53702,P53702,31
Q8BXZ1,Q8BXZ1,51.8
Q9JJV0,Q9JJV0,22.5
Q8BK64,Q8BK64,38.1
Q923D2,Q923D2,22.2
Q9R226,Q9R226,38.8
Q9CPR4,Q9CPR4,21.4
Q91W90,Q91W90,46.4
P0C605,P0C605,76.3
Q9WUM5,Q9WUM5,36.1
Q9WVR4,Q9WVR4,73.7
P57784,P57784,28.3
P60867,P60867,13.4
P57746,P57746,28.4
Q9WV91,Q9WV91,98.7
Q61234,Q61234,53.6
O08582,O08582,72.3
Q7TNE3,Q7TNE3,25.9
P47856,P47856,78.5
P09528,P09528,21.1
Q9DBP5,Q9DBP5,22.2
Q61704,Q61704,99.3
Q9QYR9,Q9QYR9,49.6
P62267,P62267,15.8
Q9JKB3,Q9JKB3,38.8
Q9Z103,Q9Z103,124.2
Q9CQL1,Q9CQL1,17.1
Q9QXK3,Q9QXK3,97.6
Q3V3R1,Q3V3R1,105.7
P11352,P11352,22.3
Q6ZQI3,Q6ZQI3,32.3
Q9DCJ5,Q9DCJ5,20
P97370,P97370,31.8
Q9CPP6,Q9CPP6,13.4
Q922P9,Q922P9,59.7
Q9R1C7,Q9R1C7,108.4
Q80UM7,Q80UM7,91.8
Q00493,Q00493,53.2
P63280,P63280,18
Q64449,Q64449,167
P67778,P67778,29.8
Q8BRF7,Q8BRF7,72.3
P31750,P31750,55.7
Q9Z2I0,Q9Z2I0,82.9
P19001,P19001,44.5
Q99L45,Q99L45,38.1
Q8CJF9,Q8CJF9,97.2
Q6DFW4,Q6DFW4,60.3
Q6P069,Q6P069,21.6
Q8K2F8,Q8K2F8,50.5
Q640N1,Q640N1,128.3
O35143,O35143,12.2
Q9Z140,Q9Z140,61.7
Q8K1H1,Q8K1H1,122.1
Q8BH97,Q8BH97,38
Q6NZN0,Q6NZN0,114.1
Q9WUU7,Q9WUU7,34
P62301,P62301,17.2
Q64213,Q64213,70.4
Q9D6M3,Q9D6M3,34.6
Q61576,Q61576,64.7
Q80UU9,Q80UU9,23.3
O70439,O70439,29.8
Q05BC3,Q05BC3,89.6
Q8BH44,Q8BH44,54.9
Q62445,Q62445,81.9
Q9D1D4,Q9D1D4,24.9
Q7TSV4,Q7TSV4,68.7
Q9CZY3,Q9CZY3,16.3
Q9CR61,Q9CR61,16.3
Q99MI1,Q99MI1,128.3
P36552,P36552,49.7
Q8BIJ7,Q8BIJ7,80.3
P32020,P32020,59.1
Q8C050,Q8C050,96.5
O35382,O35382,110.5
Q3UL36,Q3UL36,32.9
Q9DCL9,Q9DCL9,47
Q8JZN5,Q8JZN5,68.7
Q9Z0E6,Q9Z0E6,66.7
Q8R001,Q8R001,36.9
Q6IFZ6,Q6IFZ6,61.3
Q9CSH3,Q9CSH3,108.8
P61759,P61759,22.4
Q6NZL0,Q6NZL0,103.4
P27612,P27612,87.2
Q9QYE6,Q9QYE6,82.3
Q60715,Q60715,60.9
Q8BJY1,Q8BJY1,55.9
Q3URS9,Q3URS9,45.1
Q920Q6,Q920Q6,36.9
Q9WTL7,Q9WTL7,24.8
Q8VCC9,Q8VCC9,90.8
Q8R0A0,Q8R0A0,28.4
Q9EPK7,Q9EPK7,123.7
Q8QZY1,Q8QZY1,66.6
Q9Z2U1,Q9Z2U1,26.4
Q9DBR1,Q9DBR1,108.6
O35638,O35638,141.2
Q7TNG5,Q7TNG5,70.7
P63085,P63085,41.2
Q9CQN1,Q9CQN1,80.2
Q9JL35,Q9JL35,45.3
Q62048,Q62048,15
O35486,O35486,20.8
Q9JMG7,Q9JMG7,22.4
O70589,O70589,105
Q8K3G9,Q8K3G9,73.8
P07214,P07214,34.4
Q80XU3,Q80XU3,26.3
Q9QXV1,Q9QXV1,39.8
P70288,P70288,55.3
P11438,P11438,43.8
Q8VEH5,Q8VEH5,70.1
Q9CZW4,Q9CZW4,80.4
Q9D2N4,Q9D2N4,84
Q6P1B1,Q6P1B1,69.5
P62869,P62869,13.2
P28656,P28656,45.3
Q63918,Q63918,46.7
Q78ZA7,Q78ZA7,42.7
Q3TIV5,Q3TIV5,48.3
O08663,O08663,52.9
P07744,P07744,56.2
Q3TKT4,Q3TKT4,181.3
Q9ERL9,Q9ERL9,77.5
P17095,P17095,11.6
Q9Z218,Q9Z218,91.2
P70195,P70195,29.9
Q9R0Q6,Q9R0Q6,41.6
Q9CZ30,Q9CZ30,44.7
O09044,O09044,23.2
P70696,P70696,14.2
Q63810,Q63810,19.3
Q9WUD1,Q9WUD1,34.9
P49615,P49615,33.3
P84089,P84089,12.3
Q9CY27,Q9CY27,36.1
Q9WTX6,Q9WTX6,89.6
P62774,P62774,12.9
Q9JHQ5,Q9JHQ5,34.8
Q9D7N9,Q9D7N9,46.4
Q8K124,Q8K124,53.8
Q9CY57,Q9CY57,26.6
P21278,P21278,42
Q8BHD8,Q8BHD8,40.7
P33267,P33267,55.9
P35802,P35802,31.1
Q8K212,Q8K212,104.8
Q8JZS0,Q8JZS0,26
Q8VBX6,Q8VBX6,218.6
Q791T5,Q791T5,41.5
Q3TDD9,Q3TDD9,88.3
Q9QZM0,Q9QZM0,67.3
Q60865,Q60865,78.1
Q9DBB8,Q9DBB8,36.3
P27661,P27661,15.1
Q8K3X4,Q8K3X4,80.5
O35226,O35226,40.7
Q8BHS3,Q8BHS3,46.9
P39061,P39061,182.1
P20065,P20065,5.7
Q80XH2,Q80XH2,138
P61082,P61082,20.9
Q3ULD5,Q3ULD5,61.3
Q9CSU0,Q9CSU0,36.9
Q9CRD0,Q9CRD0,27.6
Q8C570,Q8C570,40.9
Q8WTY4,Q8WTY4,33.4
Q8VCA8,Q8VCA8,46.6
O70194,O70194,63.9
Q9Z247,Q9Z247,63
P57776,P57776,31.3
Q68FH0,Q68FH0,131.5
Q3UJB9,Q3UJB9,152.4
Q8BGF6,Q8BGF6,34.7
P83940,P83940,12.5
Q8BUV3,Q8BUV3,83.2
Q9CWF6,Q9CWF6,79.9
Q9Z1T1,Q9Z1T1,122.7
Q71M36,Q71M36,60.4
O55222,O55222,51.3
O09131,O09131,27.5
Q9EST5,Q9EST5,31.1
Q8R1X6,Q8R1X6,72.6
Q99KF1,Q99KF1,27.1
Q9R0Q7,Q9R0Q7,18.7
Q8VD75,Q8VD75,115.1
Q9JLZ3,Q9JLZ3,33.4
P84075,P84075,22.4
Q9DBZ1,Q9DBZ1,42.5
Q3UV17,Q3UV17,62.8
Q99J36,Q99J36,38.9
Q9Z1Q2,Q9Z1Q2,63
Q6ZWN5,Q6ZWN5,22.6
Q8R574,Q8R574,40.9
P62748,P62748,22.3
P01869,P01869,43.4
Q9R0I7,Q9R0I7,155
O70378,O70378,23.3
Q922Q1,Q922Q1,38.2
Q99JW2,Q99JW2,45.8
Q924C1,Q924C1,136.9
Q8BFY9,Q8BFY9,102.3
Q8BY89,Q8BY89,80.1
Q8VD37,Q8VD37,86
Q3UJU9,Q3UJU9,52
Q8BIL5,Q8BIL5,84.4
Q9JLI6,Q9JLI6,47.1
Q9WV32,Q9WV32,41
Q9D1J3,Q9D1J3,23.5
Q9EQ06,Q9EQ06,32.9
Q9CWL2,Q9CWL2,191.1
P32958,P32958,37.2
O88712,O88712,47.7
Q9WTP6,Q9WTP6,26.5
P59279,P59279,24.2
O08583,O08583,26.9
Q8VC31,Q8VC31,61.4
Q1XH17,Q1XH17,52.8
P13707,P13707,37.5
P84084,P84084,20.5
P20108,P20108,28.1
Q6P5G6,Q6P5G6,52.1
Q9ET54,Q9ET54,152
P55088,P55088,34.4
Q9JIS8,Q9JIS8,120.5
Q9Z2I8,Q9Z2I8,46.8
Q9ERU3,Q9ERU3,27.3
Q8BYK4,Q8BYK4,35.3
Q8K411,Q8K411,117.3
P61222,P61222,67.3
P51491,P51491,38.9
O88746,O88746,54.3
Q8CHP8,Q8CHP8,34.5
Q99KB8,Q99KB8,34.1
Q9CS42,Q9CS42,34.8
O54879,O54879,23
O35367,O35367,40.4
P26369,P26369,53.5
Q61599,Q61599,22.8
Q8CHK3,Q8CHK3,53.4
Q8VCM8,Q8VCM8,62.9
Q9R1Q8,Q9R1Q8,22.5
Q9JJV1,Q9JJV1,22.2
Q924X2,Q924X2,88.2
Q3TJZ6,Q3TJZ6,55
Q8VI36,Q8VI36,64.4
Q8VE62,Q8VE62,45.7
P97390,P97390,65
Q9CXG3,Q9CXG3,57.2
P18654,P18654,83.6
Q61464,Q61464,218
Q9D358,Q9D358,18.2
A2A432,A2A432,110.6
Q9ERI6,Q9ERI6,36.3
O88492,O88492,139.3
Q8BL65,Q8BL65,68.1
P60122,P60122,50.2
Q6PDY2,Q6PDY2,28.4
P53996,P53996,19.6
Q148V7,Q148V7,134.5
Q9CQJ8,Q9CQJ8,22
Q80UJ7,Q80UJ7,110.1
Q9WUD8,Q9WUD8,20.2
Q8VD12,Q8VD12,40.4
Q80WS3,Q80WS3,33.3
Q80U63,Q80U63,86.1
Q9CZH7,Q9CZH7,19.4
P01644,P01644,11.9
Q8BUR4,Q8BUR4,214.9
Q9QYJ3,Q9QYJ3,38.1
O35326,O35326,30.9
